Item Id,Item URI,Dublin Core:Title,Dublin Core:Subject,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Contributor,Dublin Core:Rights,Dublin Core:Relation,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type,Dublin Core:Identifier,Dublin Core:Coverage,Item Type Metadata:Text,Item Type Metadata:Transcription,Item Type Metadata:Local URL,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:From,Item Type Metadata:To,Item Type Metadata:Number of Attachments,Item Type Metadata:URL,Item Type Metadata:Birth Date,Item Type Metadata:Birthplace,Item Type Metadata:Death Date,Item Type Metadata:Biographical Text,Item Type Metadata:Bibliography,Item Type Metadata:Journal Entry,Item Type Metadata:Footnotes,Item Type Metadata:Location,PDF Text:Text,tags,file,itemType,collection,public,featured
1504,https://georgeeliotarchive.org/items/show/1504,"George Eliot to Georgiana Burne-Jones, 1880-09-09",Georgiana Burne-Jones,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:364-365","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-09-09,,,3:364-365,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Georgiana Burne-Jones,Letters",https://georgeeliotarchive.org/files/original/25c7abdae3e0835bfa9a078d479a3604.pdf,,Correspondence - The John Cross Collection,1,0
1503,https://georgeeliotarchive.org/items/show/1503,"George Eliot to Charles L. Lewes, 1880-08-12",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:363-364","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-08-12,,,3:363-364,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/b516626f8e8bd4585998bb7a881f9ac4.pdf,,Correspondence - The John Cross Collection,1,0
1502,https://georgeeliotarchive.org/items/show/1502,"George Eliot to Clementia Doughty Taylor, 1880-08-02",Clementia Doughty Taylor,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:362-363","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-08-02,,,3:362-363,,,,,,,,,,,,,,,,,,,,,,,,"Clementia Doughty Taylor,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/f17c5857c48950b8649d706dae318a40.pdf,,Correspondence - The John Cross Collection,1,0
1501,https://georgeeliotarchive.org/items/show/1501,"George Eliot to Barbara Leigh Smith Bodichon, 1880-08-01",Barbara Leigh Smith Bodichon,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:361-362","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-08-01,,,3:361-362,,,,,,,,,,,,,,,,,,,,,,,,"Barbara Leigh Smith Bodichon,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/0f5961d6953ee098faaaf51ff90db251.pdf,,Correspondence - The John Cross Collection,1,0
1500,https://georgeeliotarchive.org/items/show/1500,"George Eliot to Charles L. Lewes, 1880-07-13",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:360-361","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-07-13,,,3:360-361,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/61e61b9a8ecd5fa467c3eea1f1feffd7.pdf,,Correspondence - The John Cross Collection,1,0
1499,https://georgeeliotarchive.org/items/show/1499,"George Eliot to Charles L. Lewes, 1880-07-07",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:360","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-07-07,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/e9a6e960b2d9c504f52036744a0b543b.pdf,,Correspondence - The John Cross Collection,1,0
1498,https://georgeeliotarchive.org/items/show/1498,"George Eliot to Maria Bury Congreve, 1880-06-10",Maria Bury Congreve,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:357-359","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Letters,Maria Bury Congreve",https://georgeeliotarchive.org/files/original/465fad0e2618e8f6308ca37a460cc223.pdf,,Correspondence - The John Cross Collection,1,0
1497,https://georgeeliotarchive.org/items/show/1497,"George Eliot to Charles L. Lewes, 1880-06-09",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:356-357","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/7a16e4a4447ab244926af40ca3d11495.pdf,,Correspondence - The John Cross Collection,1,0
1496,https://georgeeliotarchive.org/items/show/1496,"George Eliot to Barbara Leigh Smith Bodichon, 1880-05-29",Barbara Leigh Smith Bodichon,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:354-356","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbara Leigh Smith Bodichon,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/caf8b6e4391947bc04ef47f5f56d34f7.pdf,,Correspondence - The John Cross Collection,1,0
1495,https://georgeeliotarchive.org/items/show/1495,"George Eliot to Charles L. Lewes, 1880-05-28",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:353-354","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/5ee75ecd5772103ee5aad4063df03da6.pdf,,Correspondence - The John Cross Collection,1,0
